入场日期,累计收益,年化收益,最大回撤,夏普比率,水下最长天数,持有天数
2024-06-20,1.6699080690088373,0.7289447984888366,-0.25504107542942467,1.893771307040828,127,452
2024-06-21,1.651770106583509,0.7244642256829814,-0.25504107542942456,1.8796189354012314,127,451
2024-06-24,1.6920038599247866,0.7411748274058427,-0.2550410754294248,1.9239018200673699,127,450
2024-06-25,1.7031894715311138,0.7473885119281383,-0.2550410754294249,1.9387231314937192,127,449
2024-06-26,1.7315644484891028,0.7598734587064304,-0.25504107542942467,1.970932930874041,127,448
2024-06-27,1.6809104374250947,0.7436035425119765,-0.2550410754294249,1.9259065560722872,127,447
2024-06-28,1.6827529875539011,0.7464561976047572,-0.25504107542942456,1.9314763095743106,127,446
2024-07-01,1.6463766758582623,0.7351791116577053,-0.25504107542942467,1.8994345741276244,127,445
2024-07-02,1.6499698553231004,0.7386726686425076,-0.25504107542942467,1.9067510132625478,127,444
2024-07-03,1.6481720467374052,0.7401729721835648,-0.25504107542942467,1.90864242232269,127,443
2024-07-04,1.6005367067894292,0.7244168056172213,-0.25504107542942467,1.8651512408906215,127,442
2024-07-05,1.5850368191330655,0.7206608450592153,-0.25504107542942467,1.8530071708051314,127,441
2024-07-08,1.5529140594446904,0.7104907498661421,-0.2550410754294248,1.8240343437792605,127,440
2024-07-09,1.5150809258317803,0.6979683898506674,-0.2550410754294248,1.7890190611371912,127,439
2024-07-10,1.489416834751872,0.6900197604626486,-0.25504107542942456,1.7659412013492306,127,438
2024-07-11,1.5215798429527996,0.704622462674817,-0.25504107542942456,1.8037978118074516,127,437
2024-07-12,1.5102286796726232,0.7022641219988175,-0.2550410754294249,1.795446486557728,127,436
2024-07-15,1.6162235904094722,0.7456748925382246,-0.2550410754294248,1.9165051500898074,127,435
2024-07-16,1.5363259239057352,0.716720971977469,-0.25504107542942467,1.8400857521013616,127,434
2024-07-17,1.5412796854758675,0.7208179270727759,-0.2550410754294248,1.8489987220104025,127,433
2024-07-18,1.564655451308104,0.7322089028661356,-0.25504107542942467,1.877834379384476,127,432
2024-07-19,1.610973643405305,0.7526649529302063,-0.25504107542942467,1.931945802427831,127,431
2024-07-22,1.6554619563754436,0.7724166314882408,-0.25504107542942467,1.9839844079754232,127,430
2024-07-23,1.6574213453858655,0.7755519884437516,-0.25504107542942467,1.9900847407152515,127,429
2024-07-24,1.6707232319868006,0.7831698299274785,-0.25504107542942456,2.0083085012890436,127,428
2024-07-25,1.6360258212876104,0.7718596067176013,-0.2550410754294249,1.9762987721485066,127,427
2024-07-26,1.704314081722694,0.8012877301650292,-0.25504107542942467,2.055626154177775,127,426
2024-07-29,1.694297687402854,0.7998193126554864,-0.2550410754294248,2.049302647650952,127,425
2024-07-30,1.694297687402854,0.8023156864427314,-0.2550410754294248,2.053551720079716,127,424
2024-07-31,1.694297687402854,0.8048273505231094,-0.2550410754294248,2.0578231017427293,127,423
2024-08-01,1.694297687402854,0.8073544433497468,-0.2550410754294248,2.062116980232934,127,422
2024-08-02,1.694297687402854,0.8098971050283956,-0.2550410754294248,2.0664335452777847,127,421
2024-08-05,1.6945671441172632,0.8125642333710474,-0.2550410754294248,2.071063158251721,127,420
2024-08-06,1.7643667775560123,0.843273398410799,-0.25504107542942456,2.1533041641518826,127,419
2024-08-07,1.7846052427943553,0.8541079467072428,-0.25504107542942467,2.1798385643366784,127,418
2024-08-08,1.7715979313089547,0.8516086579655899,-0.2550410754294248,2.1706381043158167,127,417
2024-08-09,1.7731523889260732,0.8549826798804379,-0.2550410754294248,2.176980625184518,127,416
2024-08-12,1.7489977999194863,0.8479039338708385,-0.2550410754294249,2.155866611675864,127,415
2024-08-13,1.7282678183493747,0.842139529292772,-0.2550410754294249,2.138193560720584,127,414
2024-08-14,1.709826841133637,0.8372477299089556,-0.2550410754294248,2.122815498379194,127,413
2024-08-15,1.7187668856975002,0.8436727099390706,-0.25504107542942467,2.137275220644093,127,412
2024-08-16,1.7252603579580312,0.8491216710644574,-0.2550410754294248,2.1490871513939047,127,411
2024-08-19,1.7202626312792089,0.8498080280228941,-0.2550410754294249,2.148266853102581,127,410
2024-08-20,1.690657015847187,0.8401430843336122,-0.25504107542942456,2.1206516200006953,127,409
2024-08-21,1.690657015847187,0.842895628674047,-0.25504107542942456,2.1252804801408285,127,408
2024-08-22,1.6789944244835722,0.8407084355788994,-0.25504107542942445,2.116968770543581,127,407
2024-08-23,1.6857852848751622,0.8463758499197653,-0.2550410754294249,2.1292647594780654,127,406
2024-08-26,1.6950567093687385,0.8531429449248162,-0.25504107542942456,2.1444351941642865,127,405
2024-08-27,1.6785106768446245,0.8488590039684811,-0.25504107542942467,2.130686473620259,127,404
2024-08-28,1.6804467163652936,0.8525174397041557,-0.2550410754294248,2.137602787804433,127,403
2024-08-29,1.6833560290096865,0.8566229296027938,-0.2550410754294248,2.1456651718126163,127,402
2024-08-30,1.679962444149151,0.8580117875734696,-0.2550410754294248,2.146598639742889,127,401
2024-09-02,1.6862716639560924,0.8636504413843591,-0.2550410754294249,2.15863256197095,127,400
2024-09-03,1.7014372843499443,0.8732090444936962,-0.25504107542942467,2.1809703789207644,127,399
2024-09-04,1.6965264730713585,0.8740052692266156,-0.25504107542942456,2.1802898823329344,127,398
2024-09-05,1.7152832012384316,0.885249349604279,-0.25504107542942445,2.206992385523743,127,397
2024-09-06,1.6960363737487336,0.8797418164242181,-0.25504107542942456,2.190096832138509,127,396
2024-09-09,1.6887062041626835,0.8794803189617733,-0.2550410754294248,2.186649704010178,127,395
2024-09-10,1.7083425467163633,0.8912745648231974,-0.25504107542942456,2.214669243940359,127,394
2024-09-11,1.690657015847187,0.8864024679241669,-0.25504107542942456,2.199403386642582,127,393
2024-09-12,1.676577432039975,0.8830971937489618,-0.2550410754294249,2.1881463060719377,127,392
2024-09-13,1.6819005836856902,0.8885646302205337,-0.25504107542942467,2.199459526424176,127,391
2024-09-18,1.6436628280815424,0.874174706759008,-0.25504107542942445,2.160443895998386,127,390
2024-09-19,1.644605478403553,0.8776372133535773,-0.25504107542942456,2.1665608281442843,127,389
2024-09-20,1.6488557372081343,0.8826510366911862,-0.25504107542942456,2.176655670701292,127,388
2024-09-23,1.6193876264110107,0.8720443375718705,-0.2550410754294249,2.1471250850004906,127,387
2024-09-24,1.5973721114280424,0.8647839711126377,-0.25504107542942467,2.125999178031236,127,386
2024-09-25,1.6037549812823544,0.8708077717861207,-0.2550410754294248,2.1386819087215287,127,385
2024-09-26,1.584249499715248,0.8646377691509659,-0.25504107542942467,2.1203240182726737,127,384
2024-09-27,1.5793065777022357,0.865322417085379,-0.2550410754294248,2.119294506541523,127,383
2024-09-30,1.6005713469581253,0.8785164487703216,-0.255041075429425,2.150498860615388,127,382
2024-10-08,1.1671427891317672,0.6678685862877392,-0.25504107542942467,1.7675106150660802,127,381
2024-10-09,0.806222070702806,0.480061670581307,-0.16767473118279574,1.391776053479871,76,380
2024-10-10,1.157476674996484,0.6674135378144119,-0.16767473118279574,2.1642516729701766,76,379
2024-10-11,1.2249598460635278,0.7043081407433249,-0.16767473118279574,2.295873690346502,76,378
2024-10-14,1.3480886919136466,0.7692880724317441,-0.16767473118279574,2.543543889983384,76,377
2024-10-15,1.285946458101194,0.7404063262137097,-0.16767473118279563,2.4468917319744277,76,376
2024-10-16,1.3653118363531114,0.7834174355692831,-0.16767473118279586,2.605045353390539,76,375
2024-10-17,1.4185313526710548,0.8131591228969617,-0.16767473118279586,2.7108215077783995,76,374
2024-10-18,1.4245928347579517,0.8191278487974678,-0.16767473118279574,2.7280977439529357,76,373
2024-10-21,1.243535577616937,0.7287364136613088,-0.16767473118279574,2.4744923139494834,76,372
2024-10-22,1.2321470721467978,0.7253146940987767,-0.16767473118279574,2.4591344189420283,76,371
2024-10-23,1.223936876019366,0.7235287716518759,-0.16767473118279563,2.4495207714877654,76,370
2024-10-24,1.2373092994181802,0.7331545325907538,-0.16767473118279574,2.480881071213329,76,369
2024-10-25,1.2687911375901124,0.7524349158050454,-0.16767473118279574,2.5483079388471603,76,368
2024-10-28,1.2026697201011425,0.7198306280975144,-0.16767473118279574,2.437968084294784,76,367
2024-10-29,1.2107233571033422,0.7267139846966555,-0.16767473118279563,2.4593050523355204,76,366
2024-10-30,1.2656031406754664,0.7588257457594996,-0.16767473118279563,2.5769767095461638,76,365
2024-10-31,1.2913608267845142,0.7753970298538131,-0.16767473118279574,2.634075128538706,76,364
2024-11-01,1.2794828960141906,0.7718024950252182,-0.16767473118279574,2.6178469815541647,76,363
2024-11-04,1.321047363407923,0.797068180220702,-0.16767473118279563,2.708143370293966,76,362
2024-11-05,1.2550408882713833,0.764100437432675,-0.16767473118279563,2.5962953352115625,76,361
2024-11-06,1.1507615408368692,0.7092854011786187,-0.16767473118279574,2.421763788436417,76,360
2024-11-07,1.1759166465776465,0.7258694197911899,-0.16767473118279574,2.4795585184950926,76,359
2024-11-08,1.0975987447277178,0.6844721012706827,-0.16767473118279574,2.341689162451701,76,358
2024-11-11,1.1196593800798076,0.6994385531290241,-0.16767473118279574,2.393613726086211,76,357
2024-11-12,1.0592008111290383,0.6674636820073443,-0.16767473118279574,2.283704234432249,76,356
2024-11-13,1.0627133071821397,0.671888501060067,-0.16767473118279574,2.2964736570467505,76,355
2024-11-14,1.0392338555405187,0.6607282206343121,-0.16767473118279586,2.254250395557051,76,354
2024-11-15,1.1141008327544157,0.7064794563924002,-0.16767473118279574,2.4300866713468157,76,353
2024-11-18,1.1946745487033161,0.7554561171255274,-0.16767473118279563,2.6208411082399707,76,352
2024-11-19,1.2508435110945144,0.7904650904600163,-0.16767473118279574,2.7530887962036177,76,351
2024-11-20,1.1837754877391045,0.7548085854325486,-0.16767473118279574,2.630199657990157,76,350
2024-11-21,1.1759166465776465,0.7530689268387316,-0.16767473118279574,2.620143695783581,76,349
2024-11-22,1.1759166465776465,0.755899130413987,-0.16767473118279574,2.6266883595463093,76,348
2024-11-25,1.266193412411595,0.811446313650976,-0.16767473118279574,2.847925393564323,76,347
2024-11-26,1.2440626173685079,0.801636155704933,-0.16767473118279563,2.808842680452586,76,346
2024-11-27,1.2440626173685079,0.8047130253225683,-0.16767473118279563,2.8160375205975234,76,345
2024-11-28,1.2382338832974242,0.804372074854776,-0.16767473118279563,2.810704090003304,76,344
2024-11-29,1.2513913653024402,0.8152798586496881,-0.16767473118279574,2.8470989715732777,76,343
2024-12-02,1.2499217886932348,0.8175726720240859,-0.16767473118279574,2.8512824031643884,76,342
2024-12-03,1.2382338832974242,0.813765619604427,-0.16767473118279563,2.833436011814441,76,341
2024-12-04,1.1982654210956865,0.7928408632429125,-0.16767473118279574,2.757019132104676,76,340
2024-12-05,1.188495352557481,0.789994175360762,-0.16767473118279574,2.7427295901368067,76,339
2024-12-06,1.1692134551781255,0.7812884479827469,-0.16767473118279586,2.7078418979907077,76,338
2024-12-09,1.1760607198724977,0.7885527930571479,-0.16767473118279574,2.730381264008286,76,337
2024-12-10,1.1409193666323216,0.7699061286442015,-0.16767473118279563,2.661822836027254,76,336
2024-12-11,1.158347013323752,0.7837705345815071,-0.16767473118279574,2.709107544863932,76,335
2024-12-12,1.163766591511635,0.7902481938212791,-0.16767473118279574,2.7286231126298857,76,334
2024-12-13,1.1316513174261198,0.7732018689178675,-0.16767473118279563,2.6655025214990475,76,333
2024-12-16,1.1159485452903835,0.7663230567519024,-0.16767473118279574,2.6371730881947015,76,332
2024-12-17,1.0902851305506611,0.7529997515759976,-0.16767473118279563,2.5867731232740057,76,331
2024-12-18,1.0726880218148165,0.7446841879232178,-0.16767473118279574,2.5536107695494317,76,330
2024-12-19,1.059068208051397,0.7388352427973728,-0.16767473118279574,2.5290838846132218,76,329
2024-12-20,1.1146504173484901,0.7777816660068082,-0.16767473118279586,2.674754568574255,76,328
2024-12-23,1.1583470133237532,0.8092057182108894,-0.16767473118279574,2.7900008863607346,76,327
2024-12-24,1.0864892132433615,0.7656744749695077,-0.16767473118279574,2.643519952952329,76,326
2024-12-25,1.0915535074502647,0.772093841857542,-0.16767473118279563,2.662793712370382,76,325
2024-12-26,1.0677145652537714,0.7594687902760331,-0.16767473118279586,2.6145378308382377,76,324
